id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
34982,UA-2904,small_airport,"Dubno Air Base",50.45000076293945,25.83329963684082,735,EU,Ukraine,UA,"Rivne Oblast",UA-19,19,Dubno,0,,,,,https://en.wikipedia.org/wiki/Dubno_(air_base),,50,2008-12-30T14:07:23+00:00
321200,UA-0104,small_airport,"Dymer Airstrip",51.0071035,29.9782477,,EU,Ukraine,UA,"Kyiv Oblast",UA-32,32,Dymer,0,,,,,,,50,2016-11-15T07:54:54+00:00
329681,UKNG,small_airport,"Gogoliv Airfield",50.515308,31.046581,,EU,Ukraine,UA,"Kyiv Oblast",UA-32,32,"Gogoliv (Kiev)",0,UKNG,,,,,,50,2018-11-18T06:22:03+00:00
34991,UA-8322,closed,"Horodnia Air Base",51.883767,31.645489,489,EU,Ukraine,UA,"Chernihiv Oblast",UA-74,74,Gorodnya,0,,,,,https://en.wikipedia.org/wiki/Horodnia_(air_base),"Gorodnia Air Base, Gorodnya Air Base, Horodnya Air Base, Аэродром Городня",50,2021-03-12T13:18:57+00:00
6419,UK61,small_airport,"Jagellon Airfield",49.7379,23.6689,895,EU,Ukraine,UA,"Lviv Oblast",UA-46,46,Gorodok,0,UKMC,,,http://jagellon.com,,"Cherliany Airport, Gorodok Airport, Аэропорт Черляны, Аэропорт Городок",50,2021-07-04T02:25:21+00:00
322575,UA-0115,small_airport,"Hardyshivka Airstrip",49.898809,28.436614,,EU,Ukraine,UA,"Zhytomyr Oblast",UA-18,18,Hardyshivka,0,,,,,,,50,2021-01-27T16:01:28+00:00
342089,UA-0145,small_airport,"Chernihiv West Airfield",51.5196,30.955,509,EU,Ukraine,UA,"Chernihiv Oblast",UA-74,74,Hirmanka,0,,,,,,,50,2021-03-12T13:14:30+00:00
352972,UA-0173,small_airport,"Hlukhiv Airport",51.68335,33.87135,577,EU,Ukraine,UA,"Sumy Oblast",UA-59,59,Hlukhiv,0,,,,,,,50,2022-02-23T23:45:35+00:00
320731,UA-0092,small_airport,"Kryzhopil Airstrip",48.35874,28.860397,,EU,Ukraine,UA,"Vinnytsia Oblast",UA-05,05,Holubeche,0,,,,,,,50,2021-01-27T16:02:07+00:00
44680,UA-0045,small_airport,"Izyum Air Base",49.259998,37.154999,,EU,Ukraine,UA,"Kharkiv Oblast",UA-63,63,Ivanivka,0,UKHI,,,,,"Levkovka Air Base, Аэродром Изюм, Аэродром Левковка",50,2023-09-21T14:33:19+00:00
